


         _+=+_
      .-`  .  `-.          8888888b.  8888888b.   .d88888b.   .d8888b.
   _+`     "     `+_       888   Y88b 888   Y88b d88P" "Y88b d88P  Y88b
  \\\sssssssssssss///      888    888 888    888 888     888 Y88b.
     .ss\  *  /ss.         888   d88P 888   d88P 888     888  "Y888b.
 .+bm  .s  *  s.  md+.     8888888P"  8888888P"  888     888     "Y88b.
.hMMMMs .  *  . sMMMMh.    888        888 T88b   888     888       "888
 `\hMMMb \ | / dMMMh:      888        888  T88b  Y88b. .d88P Y88b  d88P
   -SNMNo  -  oNMNs-       888        888   T88b  "Y88888P"   "Y8888P"
     `+dMh\./dMd/
        `:yNy:`                      Powered by PROS for VEX V5
           "                Copyright (c) Purdue University ACM SIGBots
Version:        3.6.0     Platform:  V1.1.2 (b34)     Uptime:    0.000 s
Compiled:   Nov  8 2022 18:39:33     Directory:  V5/VexV5-UTG/VexV5-UTG


time,vexVelocity,filteredVelocity,rawVelocity,acceleration,emaGain,voltageOut,deltaTime,vexDeltaTime,deltaTicks
1942,0.000000,0.000176,0.000000,-0.000001,0.150000,12000.000000,20,20,0
1962,0.000000,0.000158,0.000000,-0.000001,0.150000,12000.000000,20,20,0
1982,0.000000,0.000142,0.000000,-0.000001,0.150000,12000.000000,20,20,0
2040,0.000000,0.000128,0.000000,-0.000000,0.150000,12000.000000,60,60,0
2060,0.000000,0.000115,0.000000,-0.000001,0.150000,12000.000000,20,20,0
2080,0.000000,0.000104,0.000000,-0.000001,0.150000,12000.000000,20,20,0
2100,0.000000,0.000093,0.000000,-0.000001,0.150000,12000.000000,20,20,0
2120,0.000000,0.000084,0.000000,-0.000000,0.150000,12000.000000,20,20,0
2140,0.000000,0.000076,0.000000,-0.000000,0.150000,12000.000000,20,20,0
2160,0.000000,0.000068,0.000000,-0.000000,0.150000,12000.000000,20,20,0
2180,0.000000,0.000061,0.000000,-0.000000,0.150000,12000.000000,20,20,0
2200,0.000000,0.000055,0.000000,-0.000000,0.150000,12000.000000,20,20,0
2220,0.000000,0.000050,0.000000,-0.000000,0.150000,12000.000000,20,20,0
2240,0.000000,0.000045,0.000000,-0.000000,0.150000,12000.000000,20,20,0
2260,0.000000,0.000040,0.000000,-0.000000,0.150000,12000.000000,20,20,0
2280,0.000000,0.000036,0.000000,-0.000000,0.150000,12000.000000,20,20,0
2300,0.000000,0.000033,0.000000,-0.000000,0.150000,12000.000000,20,20,0
2320,0.000000,0.000029,0.000000,-0.000000,0.150000,12000.000000,20,20,0
2340,0.000000,0.000026,0.000000,-0.000000,0.150000,12000.000000,20,20,0
2360,0.000000,0.000024,0.000000,-0.000000,0.150000,12000.000000,20,20,0
2380,0.000000,0.000021,0.000000,-0.000000,0.150000,12000.000000,20,20,0
2400,0.000000,0.000019,0.000000,-0.000000,0.150000,12000.000000,20,20,0
2420,0.000000,0.000017,0.000000,-0.000000,0.150000,12000.000000,20,20,0
2440,0.000000,0.000016,0.000000,-0.000000,0.150000,12000.000000,20,20,0
2460,0.000000,0.000014,0.000000,-0.000000,0.150000,12000.000000,20,20,0
2480,0.000000,0.000013,0.000000,-0.000000,0.150000,12000.000000,20,20,0
2500,0.000000,0.000011,0.000000,-0.000000,0.150000,12000.000000,20,20,0
2520,0.000000,0.000010,0.000000,-0.000000,0.150000,12000.000000,20,20,0
2540,0.000000,0.000009,0.000000,-0.000000,0.150000,12000.000000,20,20,0
2560,0.000000,0.000008,0.000000,-0.000000,0.150000,12000.000000,20,20,0
2580,0.000000,0.000007,0.000000,-0.000000,0.150000,12000.000000,20,20,0
2600,0.000000,0.000007,0.000000,-0.000000,0.150000,12000.000000,20,20,0
2620,0.000000,0.000006,0.000000,-0.000000,0.150000,12000.000000,20,20,0
2640,0.000000,0.000005,0.000000,-0.000000,0.150000,12000.000000,20,20,0
2660,0.000000,0.000005,0.000000,-0.000000,0.150000,12000.000000,20,20,0
2680,0.000000,0.000004,0.000000,-0.000000,0.150000,12000.000000,20,20,0
2700,0.000000,0.000004,0.000000,-0.000000,0.150000,12000.000000,20,20,0
